date,open,close,high,low,volume,amount,amplitude,change_pct,change_val,turnover
2015-12-03,3709.55,3749.30,3758.45,3693.14,197762126,236698987440.00,1.75,0.73,27.35,0.61
2015-12-18,3754.96,3767.91,3810.22,3750.93,173465980,232281458171.00,1.58,0.32,12.02,0.53
2016-01-05,3382.18,3478.78,3518.22,3377.28,162116984,196017085879.00,4.06,0.28,9.71,0.50
2016-01-20,3204.22,3174.38,3225.95,3154.43,130650504,143313337192.00,2.22,-1.51,-48.74,0.40
2016-02-04,2960.33,2984.76,2999.21,2960.21,91779724,91550346872.00,1.32,1.22,36.12,0.28
2016-02-26,2942.10,2948.03,2964.39,2902.95,106949729,102531571946.00,2.11,1.00,29.28,0.33
2016-03-14,3039.57,3065.69,3106.80,3034.00,117108655,123539094703.00,2.41,1.57,47.41,0.36
2016-03-28,3206.95,3169.73,3229.62,3161.88,103441933,123844044128.00,2.12,-0.88,-28.09,0.32
2016-04-13,3237.86,3261.38,3296.52,3237.86,195613866,200159601290.00,1.82,1.33,42.93,0.60
2016-04-28,3169.33,3160.58,3174.77,3135.64,69870660,78876767222.00,1.24,-0.17,-5.34,0.21
2016-05-16,3064.53,3095.31,3095.56,3053.66,59461856,64405200020.00,1.36,0.66,20.37,0.18
2016-05-31,3068.60,3169.56,3170.93,3068.60,138863111,151398175957.00,3.34,3.35,102.85,0.43
2016-06-17,3096.09,3110.36,3131.05,3096.09,85402985,97953389320.00,1.13,0.51,15.69,0.26
2016-07-04,3136.39,3204.70,3210.60,3134.02,133310529,149894780037.00,2.43,1.60,50.50,0.41
2016-07-19,3260.43,3248.23,3264.73,3226.20,88886861,107108911172.00,1.18,-0.42,-13.79,0.27
2016-08-03,3179.68,3193.51,3197.16,3173.54,72864102,79754323301.00,0.74,0.14,4.46,0.22
2016-08-18,3369.95,3364.49,3394.79,3349.69,142380169,172256533000.00,1.34,-0.25,-8.56,0.44
2016-09-02,3298.72,3314.11,3320.43,3295.76,82791803,99396378584.00,0.75,0.38,12.53,0.25
2016-09-21,3257.71,3266.64,3270.90,3254.32,59142979,68957744044.00,0.51,0.28,9.24,0.18
2016-10-13,3299.16,3302.65,3307.41,3292.40,81224198,79923748596.00,0.45,0.08,2.64,0.25
2016-10-28,3347.14,3340.13,3370.75,3337.29,93133309,104797971448.00,1.00,-0.17,-5.57,0.29
2016-11-14,3409.22,3430.25,3452.62,3408.14,213247105,208353308629.00,1.30,0.38,13.03,0.65
2016-11-29,3525.90,3564.04,3583.72,3521.38,236918356,248322816339.00,1.76,0.82,28.96,0.73
2016-12-14,3399.41,3378.95,3412.28,3378.27,124007744,126182669414.00,1.00,-0.77,-26.09,0.38
2016-12-29,3297.04,3297.76,3312.11,3288.10,70087923,75972960431.00,0.73,-0.13,-4.13,0.21
2017-01-16,3314.15,3319.45,3322.78,3264.21,157779135,153262520121.00,1.76,-0.01,-0.46,0.48
2017-02-06,3368.11,3373.21,3381.33,3358.75,68521360,73408134768.00,0.67,0.26,8.72,0.21
2017-02-21,3475.06,3482.82,3490.09,3472.02,114842009,120675429543.00,0.52,0.33,11.43,0.35
2017-03-08,3452.20,3448.73,3457.04,3441.26,79587690,89124904682.00,0.46,-0.15,-5.23,0.24
2017-03-23,3452.41,3461.98,3470.82,3435.69,94318062,115813813702.00,1.02,0.35,11.93,0.29
2017-04-11,3503.83,3517.33,3520.13,3466.14,165945832,189457268655.00,1.54,0.35,12.19,0.51
2017-04-26,3440.25,3445.18,3466.57,3439.15,111940029,131316579235.00,0.80,0.12,4.21,0.34
2017-05-12,3350.94,3385.38,3387.27,3349.17,93386466,97522124594.00,1.14,0.86,28.73,0.29
2017-05-31,3495.07,3492.88,3515.08,3474.92,104829745,115968724992.00,1.15,0.36,12.45,0.32
2017-06-15,3530.75,3528.79,3542.28,3508.95,82632535,106053902336.00,0.94,-0.18,-6.51,0.25
2017-06-30,3654.73,3666.80,3669.76,3646.23,81510029,102459981824.00,0.64,-0.06,-2.03,0.25
2017-07-17,3700.62,3663.56,3716.47,3621.36,178821601,196217253888.00,2.57,-1.07,-39.53,0.55
2017-08-01,3738.74,3770.38,3770.40,3737.09,152546540,173127577600.00,0.89,0.87,32.51,0.47
2017-08-16,3701.13,3701.42,3707.14,3679.73,104134141,127282167808.00,0.74,-0.13,-4.64,0.32
2017-08-31,3835.84,3822.09,3840.20,3800.89,132944934,157079216128.00,1.03,-0.32,-12.21,0.41
2017-09-15,3826.14,3831.30,3843.30,3818.52,122427005,153477214208.00,0.65,0.03,1.34,0.37
2017-10-09,3910.11,3882.21,3918.84,3876.03,135535852,171941462016.00,1.12,1.19,45.71,0.41
2017-10-24,3926.23,3959.40,3959.50,3922.03,93058153,120192151552.00,0.95,0.73,28.60,0.28
2017-11-08,4051.49,4048.01,4089.15,4040.58,150827720,200949739520.00,1.20,-0.15,-6.24,0.46
2017-11-23,4213.38,4102.40,4214.19,4086.90,178147228,237536706560.00,3.01,-2.96,-125.17,0.55
2017-12-07,4003.58,3971.06,4017.95,3955.99,90254044,119651201024.00,1.54,-1.11,-44.76,0.28
2017-12-22,4064.91,4054.60,4076.80,4048.49,73473684,104426496000.00,0.70,-0.33,-13.25,0.22
2018-01-09,4157.54,4189.30,4191.28,4153.50,139034294,181975080960.00,0.91,0.70,29.14,0.43
2018-01-24,4389.45,4389.89,4397.82,4349.09,219818890,284470808576.00,1.11,0.17,7.28,0.67
2018-02-08,4022.88,4012.05,4071.67,3974.68,159269985,199061770240.00,2.39,-0.95,-38.45,0.49
2018-03-02,4014.95,4016.46,4044.42,4006.94,96165000,130931179520.00,0.93,-0.81,-32.63,0.29
2018-03-19,4054.62,4074.25,4074.52,4033.52,81502881,118183817216.00,1.01,0.44,17.83,0.25
2018-04-03,3850.15,3862.48,3878.15,3839.93,95137370,132049936384.00,0.98,-0.63,-24.44,0.29
2018-04-20,3801.21,3760.85,3815.44,3750.10,99282926,123550662656.00,1.71,-1.34,-50.99,0.30
2018-05-09,3876.13,3871.62,3878.94,3855.74,66712965,92322897920.00,0.60,-0.18,-7.06,0.20
2018-05-24,3853.29,3827.22,3859.10,3823.92,68345021,93408219136.00,0.91,-0.71,-27.36,0.21
2018-06-08,3819.45,3779.62,3819.46,3759.27,83337336,107818799104.00,1.57,-1.34,-51.39,0.26
2018-06-26,3521.59,3531.11,3541.78,3478.21,84985270,108132167680.00,1.79,-0.82,-29.37,0.26
2018-07-11,3398.93,3407.53,3427.57,3375.14,72040950,89661505536.00,1.51,-1.73,-59.99,0.22
2018-07-26,3583.32,3536.25,3593.92,3528.64,90349642,105577283584.00,1.82,-1.16,-41.50,0.28
2018-08-10,3398.41,3405.02,3424.04,3380.57,68967299,85634523136.00,1.28,0.22,7.49,0.21
2018-08-27,3339.39,3406.57,3406.57,3339.26,94270083,114960965632.00,2.02,2.44,81.24,0.29
2018-09-11,3229.71,3224.21,3245.62,3209.11,58491305,67722118912.00,1.13,-0.18,-5.86,0.18
2018-09-27,3415.95,3403.59,3423.71,3394.73,69765240,87573299200.00,0.85,-0.40,-13.65,0.21
2018-10-19,3017.75,3134.95,3137.75,3009.50,98839688,110951370752.00,4.21,2.97,90.56,0.30
2018-11-02,3258.61,3290.25,3290.25,3222.44,153466104,178340642816.00,2.13,3.56,113.22,0.47
2018-11-19,3258.79,3294.60,3294.60,3251.07,115956595,123188776960.00,1.34,1.13,36.93,0.35
2018-12-04,3256.23,3267.71,3267.94,3243.70,79415040,90543599616.00,0.74,0.21,6.76,0.24
2018-12-19,3133.74,3091.13,3137.01,3086.76,55522299,67872922368.00,1.61,-1.19,-37.30,0.17
2019-01-07,3055.15,3054.30,3061.75,3035.91,101164360,105703940096.00,0.85,0.61,18.43,0.31
2019-01-22,3181.95,3143.32,3181.95,3135.34,72990528,78150877184.00,1.46,-1.33,-42.32,0.22
